Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Bamum,,Makoupchichi,,,Tavits p. 1,5.004459,10.906474
Cameroon,Bamum,,Mayakoue,,,Tavits p. 1,5.115876,10.874223
Cameroon,Bamum,,Maloung,,,Tavits p. 1,5.160345,10.866437
Cameroon,Bamum,,Makpantoum,,,Tavits p. 1,5.166667,10.9
Cameroon,Bamum,,Mandiyang,,,Tavits p. 1,5.286323,10.831952
Cameroon,Bamum,,Mafumbouo,,,Tavits p. 1,5.302645,10.92663
Cameroon,Bamum,,Marap,,,Tavits p. 1,5.327205,10.838963
Cameroon,Bamum,,Maka,,,Tavits p. 1,5.365895,10.661945
Cameroon,Bamum,,Fossang,,,Njeuma p. 250,5.383653,10.656542
Cameroon,Bamum,,Maripa,,,Tavits p. 1,5.429537,10.764265
Cameroon,Bamum,,Malanden,,,Njeuma p. 250,5.429828,10.826728
Cameroon,Bamum,,Matam,,,Tavits p. 1,5.442879,10.950352
Cameroon,Bamum,,Mfohououn,,,Tavits p. 1,5.48295,10.715442
Cameroon,Bamum,,Njimouot,,,Tavits p. 1,5.501076,10.641028
Cameroon,Bamum,,Mfeset,,,Moupou. p. 112,5.501824,10.671632
Cameroon,Bamum,,Foumbot,,,Njeuma p. 250,5.508031,10.632503
Cameroon,Bamum,,Baigom,,,Moupou. p. 112,5.563318,10.66826
Cameroon,Bamum,,Mantoum,,,Njeuma p. 250,5.6,11.15
Cameroon,Bamum,,Kouomboum,,,Tavits p. 1,5.60507,10.595326
Cameroon,Bamum,,Mapara,,,Tavits p. 1,5.622307,10.656606
Cameroon,Bamum,,Mante,,,Tavits p. 1,5.63564,10.692579
Cameroon,Bamum,,Kounja,,,Moupou. p. 112,5.635968,10.743636
Cameroon,Bamum,,Makam,,,Moupou. p. 112,5.639107,10.541729
Cameroon,Bamum,,Koudoum,,,Moupou. p. 112,5.644833,10.887905
Cameroon,Bamum,,Koupa Matapit,,,Moupou. p. 112,5.648598,10.607866
Cameroon,Bamum,,Bafole,,,Tavits p. 1,5.65,10.683333
Cameroon,Bamum,,Mbamououp,,,Tavits p. 1,5.65516,10.611232
Cameroon,Bamum,,Koumelap,,,Tavits p. 1,5.675549,10.758309
Cameroon,Bamum,,Koutaba,,,Njeuma p. 250,5.685403,10.810337
Cameroon,Bamum,,Marom,,,Moupou. p. 112,5.721698,10.958145
Cameroon,Bamum,,Foumban,,Capital,Njeuma p. 250,5.72662,10.898654
Cameroon,Bamum,,Malantouen,,,Moupou. p. 112,5.733333,11.1
Cameroon,Bamum,,Koumenke,,,Moupou. p. 112,5.733796,10.744263
Cameroon,Bamum,,Kouhouat,,,Tavits p. 1,5.788902,10.713145
Cameroon,Bamum,,Koussom,,,Moupou. p. 112,5.820223,10.929101
Cameroon,Bamum,,Bangambi,,,Moupou. p. 112,5.842936,10.733927
Cameroon,Bamum,,Koumbam,,,Tavits p. 1,5.859596,10.732519
Cameroon,Bamum,,Bangourain,,,Moupou. p. 112,5.866667,10.666667
Cameroon,Bamum,,Mankoumvi,,,Tavits p. 1,5.883333,11.116667
Cameroon,Bamum,,Magba,,,Njeuma p. 250,5.95,11.216667
Cameroon,Bamum,,Mansen,,,Tavits p. 1,6.05,11.183333
Cameroon,Bamum,,Moussafon,,,Tavits p. 1,6.15,11.133333
