Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Mozambique,Barue,,Canhandje,,Chipitura aringa here,Coutinho 360,-16.863056,33.694167,
Mozambique,Barue,,Catandica,,subchief here?,van Dokkum,-18.0575,33.17361,
Mozambique,Barue,,Changara,,prince here,van Dokkum 35,-16.83639,33.27389,
Mozambique,Barue,,Chemba,,prazo here,Isaacson 117,-17.161695,34.889271,
Mozambique,Barue,,Chiramba,,prazo here,Isaacson 117,-16.892017,34.654012,
Mozambique,Barue,,Conga Davuma,Conga?,Senior land chief here?,Isaacson 1976 58,-16.880004,33.577107,
Mozambique,Barue,,Goba,Approximate location - may be significantly off,Aringa here,Coutinho 47,-16.9449,34.53016,
Mozambique,Barue,,Gudo,Tchipi???,aringas or fortification here,Coutinho 361,-16.584421,33.809463,
Mozambique,Barue,,Inhacuba,Nhacafula?? After Portuguese troops march to Mungari,Aringa of war captain,Coutinho 145,-16.865833,34.079444,
Mozambique,Barue,,Inhamatiquite,Nhamatica,Chipitura aringa here,Coutinho 360,-16.530556,33.533889,
Mozambique,Barue,,Inhangone,Approximate location,Residence of important state figure; important aringa here,Coutinho 17,-17.335855,33.795149,
Mozambique,Barue,,Macossa,,King's son settled here late 1800s,Van Dokkum Appendix B,-17.898056,33.939167,
Mozambique,Barue,,Mafunda,approximate location,Senior land chief here; aringa built here in 1890s,"Isaacson 1976 58, 62",-16.753523,34.215314,
Mozambique,Barue,,Massango,placed at Tumbura; Van Dokkum notes near here,Base for Hango in late 1890s?,van Dokkum 51,-17.49778,33.05417,approximate based on map
Mozambique,Barue,,Missongue,Approximate location; note that what is in gis data does not correspond to map in Isaacson; also known as inhachirondo,Barue Capital,Isaacman xiii,-17.209322,33.740732,
Mozambique,Barue,,Mungari,,Major Barue Town; aringas here,Isaacman xiii,-17.167137,33.551947,
Mozambique,Barue,,Pombona,"Mbombona; approximate location based on coordinates on old map, now a ruin",Capital during part of 1800s,Van Dokkum Appendix B,-17.85694,33.72778,Van Dokkum notes that this was close to Demera mountain - placed here
Mozambique,Barue,,Samanhanga,,Chipitura aringa here,Coutinho 360,-17.576111,33.165278,
Mozambique,Barue,,Sanca,,Eastern frontier in 1890s,Isaacson 64,-17.2091,34.366909,
Mozambique,Barue,,Sena,,"Sacred area, putative burial place of Kabudu Kagoro",Isaacman 1973 401,-17.444645,35.031627,
Mozambique,Barue,,Tambara,,Tonga stronghold allied with Hanga; served as outer perimiter for Barue in 1890s but arguably on periphery,Isaacson 1976 64,-16.723141,34.253789,
Mozambique,Barue,,Zenlagombie,near Ngombe according to van Dokkum; Senlangombi,Shrine center,Isaacson 1976 65,-17.83,34.348333,
