Country,Polity,Subkingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Benin,,Akure,,Resident representative here,Bryder 21,5.755903,5.972794
Nigeria,Benin,,Owo,,Important town under Oba's control,Roese and Bondarenko p. 17,5.882344,5.94363
Nigeria,Benin,,Usonigbe,,,Roese and Bondarenko p. 389,5.98403,6.179603
Nigeria,Benin,,Ologbo,,palace sited here,Egharevba p. 50,6.064671,5.657513
Nigeria,Benin,,Uge,,,Roese and Bondarenko p. 389,6.08794,5.99921
Nigeria,Benin,,Sapoba,,,Ryder p. 125,6.098895,5.898254
Nigeria,Benin,,Gwato,Ughoton,Significant trading center on river; messangers connect news of trade with Oba; significant shrine here as well,Ryder 88,6.16121,5.36239
Nigeria,Benin,,Iguohimi,Iguohemwen,,Ryder p. 125,6.21689,5.44002
Nigeria,Benin,,Agbor,,Province headquarters,Roese and Bondarenko p. 389,6.253589,6.203217
Nigeria,Benin,,Abaraka,Kwale,Province headquarters,Egharevba p. 80,6.307266,5.46364
Nigeria,Benin,,Benin City/Edo,,Capital,Ryder map,6.333237,5.622551
Nigeria,Benin,,Use,,,Osadolor p. xii,6.36208,5.58493
Nigeria,Benin,,Uselu,,Titleholders ward; Edaiken here,Bradbury p. 35,6.38512,5.61207
Nigeria,Benin,,Ekete,Etete,Major town subjugated under Equare; large market,Ryder p. 125,6.41667,5.41667
Nigeria,Benin,,Udo,,Laerge village subjugated to Benin,Ryder,6.47253,5.35377
Nigeria,Benin,,Obadan,,Site of war camp,Egharevba p. 49,6.476422,5.903319
Nigeria,Benin,,Ewohimi,,Chiefdom here,Osadolor p. xii,6.48004,6.32523
Nigeria,Benin,,Ugha,,,Roese and Bondarenko p. 389,6.56692,5.893914
Nigeria,Benin,,Uromi,,,Ryder map,6.715001,6.32897
Nigeria,Benin,,Uhiere,,,Roese and Bondarenko p. 389,6.731077,5.787209
Nigeria,Benin,,Usen,,,Roese and Bondarenko p. 389,6.731756,5.39287
Nigeria,Benin,,Irrua,,Engoie here; Province headquarters,Egharevba p. 46,6.738729,6.220896
Nigeria,Benin,,Ekpoma,,Chiefdom here,,6.755775,6.056899
Nigeria,Benin,,Okeluhen,Okeluse,Ejima chief here,Egharevba p. 39,6.783752,5.587337
Nigeria,Benin,,Ute,,conquered in early 1800s,Egharevba p. 42,6.848609,5.60484
Nigeria,Benin,,Agbede,,Province headquarters,Egharevba p. 80,6.861169,6.262957
Nigeria,Benin,,Ikere,Ikaro?,Major town subjugated under Equare,Ryder 11,6.95,5.783333
Nigeria,Benin,,Uzeba,,Titleholders ward,Bradbury p. 35,6.996137,5.90449
