Country,Polity,Sub-Kingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Nigeria,Borno,,Adjiri,Ajiri,walled town,Rothmaler 188,11.97351,13.71187,
Nigeria,Borno,,Ala,,Walled town,Hirribarren p. 54,12.2085,13.879734,
Nigeria,Borno,,Alagernu,,Walled town,Hiribarren p. 32,11.922522,11.640935,
Nigeria,Borno,,Alo,,burial place of Borno King,Benton p. 310,11.736035,13.253941,
Nigeria,Borno,,Arege,,walled town,Rothmaler 189,13.488947,13.329044,
Nigeria,Borno,,Bama,,border town,Rothmaler 190,11.521339,13.689524,
Nigeria,Borno,,Birni,,state agent posted here,Mahamma p. 107,10.53924,12.03223,
Nigeria,Borno,,Borsari,,walled town,Rothmaler 192,12.9415,11.5861,approximate based on map in Hirribaren
Nigeria,Borno,,Boudoum,,,Hiribarren,11.21515,13.15164,
Nigeria,Borno,,Bundi,,capital of Galadima Umar,Benasheikh p. 146,12.676062,12.799646,
Niger,Borno,,Burburwa,Berberra (Fogua),court seated here after Gazargamo sacked,Benasheikh p. 145,13.49662,12.96468,
Nigeria,Borno,,Damasa,Karigi,army camp here,Rothmaler 195,13.06465,11.46456,
Nigeria,Borno,,Dapchi,,,Hiribarren,12.495362,11.499775,
Nigeria,Borno,,Dikao,Dikwa,Walled town with sultan,"Benton, Map",12.036094,13.918152,
Nigeria,Borno,,Domari,placed at Yusefari,"large town, possibly walled",Rohtmaler 197,13.1112966,10.81589769,
Niger,Borno,,Gashua,,walled town,Rothmaler 199,12.873976,11.040568,
Nigeria,Borno,,Geidam,,special representative posted here,Hogben and Kirk-Greene 332,12.894389,11.926491,
Nigeria,Borno,,Gornu,,Walled town,Hirribarren p. 53,12.715042,13.695738,
Nigeria,Borno,,Goumsari,,,"Benton, Map",11.05476,12.809188,
Nigeria,Borno,,Gujba,,headquarters of Miltiary leader,Mahamma p. 117,11.499592,11.933964,
Nigeria,Borno,,Guji,,,Hiribarren,12.829227,11.5584,
Nigeria,Borno,,Inguelfe,Nguru,large village,Mahamma p. 112,12.547987,12.78823,
Nigeria,Borno,,Kabi,Kaba?,important cattle market,Rothamler 202,11.315301,12.474197,
Niger,Borno,,Kabi,Kabiberi,,Benton Map,13.116718,12.414384,
Nigeria,Borno,,Kabshary,later known as Alaoune,,Hiribarren,12.9621,10.5611,Rothmaler says at Karasua Gabcari
Nigeria,Borno,,Kafela,,old dynasty resides here,Rothmaler 203,12.503586,13.749842,
Nigeria,Borno,,Kakaua,,capital founded by El-Kanemi,"Benton, Map",12.924753,13.566168,
Nigeria,Borno,,Kindjeberi,Kalua Kinjibe,walled town,Rothmaler 205,13.51759,13.19494,placed at Ngamma
Nigeria,Borno,,Kodege,Kudiye,walled town,Rothmaler 205,11.96433,14.10909,at Afoye
Nigeria,Borno,,Kukakawa,,Sultans live here,Hiribarren p. 61,11.294363,12.850369,
Nigeria,Borno,,Magomeri,,,"Benton, Map",12.114511,12.826197,
Nigeria,Borno,,Maja,,major market town,Alkali p. 69,11.986108,14.091244,
Nigeria,Borno,,Manganum,,,,12.251754,12.336229,
Nigeria,Borno,,Martai,,Walled town,Hiribarren p. 31,10.366677,12.066004,
Nigeria,Borno,,Masu,,,Benton p. 318,12.206749,13.304208,
Nigeria,Borno,,Metile,,salt camp,Rothmaler 20,13.35765,13.42618,
Nigeria,Borno,,Mongono,,temporary residence of Shehu ~1899; kings brother settled there earlier,Mahamma p. 112,12.670587,13.61224,
Nigeria,Borno,,Mulimari,Murimari,title holder likely here,Rothmaler 209,13.09858,11.75374,
Nigeria,Borno,,Multe,,,"Benton, Map",10.892392,12.644595,
Nigeria,Borno,,NÕGazagarmo,placed at gamzagi - nearest surviving town,capital; destroyed in early 1800s,,13.067985,12.280027,
Nigeria,Borno,,Ngornu,,Walled town,"Benton, Map",12.715042,13.695738,
Nigeria,Borno,,Sokoma,,Walled town; last before Mandara,Rothmaler 212,11.962477,13.995095,
Nigeria,Borno,,Ulo Kura,Wulo Mangal,large town,Rothmaler 213,12.55184,13.55059,
Nigeria,Borno,,Wadi,Wadi Kafia,important settlement,Rothmaler 214,13.02108,11.56859,
Nigeria,Borno,,Yaidi,,Walled town,Hiribarren p. 32,11.149571,11.8818,
Nigeria,Borno,,Yamia,,major market town,Alkali p. 69,13.009108,10.977552,
Nigeria,Borno,,Yoo,Yow,walled town,Rothmaler 215,13.458669,13.209572,
Nigeria,Borno,,Birnin Kabela,Kabela,royals here early 1800s,Schultz 255,13.19962,12.65318,
