Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Boulsa,Zorogo,,,Izard . 232,12.25,-0.283333
Burkina Faso,Boulsa,Kando,,,,12.343056,-0.495278
Burkina Faso,Boulsa,Simba,,,Izard . 232,12.433333,-0.3
Burkina Faso,Boulsa,Saguen,,,Izard . 232,12.525438,-0.406908
Burkina Faso,Boulsa,Niega,,,Izard . 232,12.529288,-0.501434
Burkina Faso,Boulsa,Bilanga,,,Sedego p. 508,12.544489,-0.034137
Burkina Faso,Boulsa,Lilyala,,village of Saan Yaarse,Sedogo p. 243,12.603472,-0.578443
Burkina Faso,Boulsa,Koboure,,,Izard . 232,12.633333,-0.516667
Burkina Faso,Boulsa,Bulsa,,,Izard 1970 p. 389,12.666641,-0.574685
Burkina Faso,Boulsa,Youba,,,Izard p. 386,12.733333,-0.933333
Burkina Faso,Boulsa,Zambanga,,village of Bikeeg-Yarse cla,Izard . 232,12.733333,-0.566667
Burkina Faso,Boulsa,Bonam,,vllage of Kuraog0yarse clan,Sedogo p. 242,12.78645,-0.609143
Burkina Faso,Boulsa,Koboulga,Boala,,Sedogo p. 237,12.872793,-0.702155
Burkina Faso,Boulsa,Belga,,early garrison,Sedogo p. 239,12.883333,-0.483333
Burkina Faso,Boulsa,Bogande,,,Sedego p. 508,12.970402,-0.149532
Burkina Faso,Boulsa,Zogo,,,Sedogo p. 237,13.020017,-0.668172
Burkina Faso,Boulsa,Tuguri,,,Izard 1970 p. 389,13.316389,-0.5225
Burkina Faso,Boulsa,Nagbingou,,,Sedogo p. 237,13.552136,-0.467201
Burkina Faso,Boulsa,Bouroum,,village of Silmissi,Sedogo p. 243,13.610329,-0.649467
