Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Boussouma,Barsalogo,,,Izard 1970 p. 389,13.413889,-1.055833
Burkina Faso,Boussouma,Busuma,,,Izard 1970 p. 389,12.908407,-1.080804
Burkina Faso,Boussouma,Diguilla,,,Izard 1970 p. 240,13.137852,-1.271235
Burkina Faso,Boussouma,Kaya,,,Izard 1970 p. 389,13.091667,-1.084444
Burkina Faso,Boussouma,Kirgoutenga,,,Izard 1970 p. 240,13.180661,-1.230903
Burkina Faso,Boussouma,Pensa,,,Izard 1970 p. 240,13.640556,-0.809444
Burkina Faso,Boussouma,Pibaore,,,Izard 1970 p. 389,12.894408,-0.808114
Burkina Faso,Boussouma,Pisila,,,Izard 1970 p. 389,13.164167,-0.8225
Burkina Faso,Boussouma,Sabouri,,,Izard 1970 p. 240,12.745278,-1.056944
Burkina Faso,Boussouma,Yimiougou,,,Izard 1970 p. 240,12.898333,-1.298889
