Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Benin,Dahomey,Ouidah,,Palace site,Monroe 2007 p. 350,6.363068,2.085056
Benin,Dahomey,Savi,,Major city of Allada,Ross p. 359,6.416667,2.1
Benin,Dahomey,Tori,,Garrisonned village between Ouidah and Abomey,Ross p. 367,6.503015,2.144098
Benin,Dahomey,Dedome,,Palace location,Monroe p. 776,6.572395,2.007137
Benin,Dahomey,Allada,,Palace site,Monroe 2007 p. 350,6.665469,2.151378
Benin,Dahomey,Whegbo,,,Monroe 2007 p. 355,6.832212,2.182576
Benin,Dahomey,Toffo,,,,6.85,2.083333
Benin,Dahomey,Agrimey,,Palace location,Monroe 2007 p. 358,7.017079,2.152154
Benin,Dahomey,Sinhoue,,Palace location,Monroe p. 776,7.033333,1.983333
Benin,Dahomey,Agbahizoumn,,Palace location,Monroe p. 776,7.067645,1.973727
Benin,Dahomey,Cana,,Palace location,Monroe p. 776,7.146103,2.083102
Benin,Dahomey,Hoja,,Palace location,Monroe p. 776,7.148121,1.959485
Benin,Dahomey,Allahe,,Palace location,Monroe p. 776,7.164983,2.259879
Benin,Dahomey,Huawe,,Palace location,Monroe p. 776,7.166667,2.016667
Benin,Dahomey,Djime,,Palace location,Monroe 2007 p. 358,7.182465,2.029484
Benin,Dahomey,Abomey,,Capital,Monroe p. 776,7.182858,1.991188
Benin,Dahomey,Zagnando,,Palace location,Monroe p. 776,7.22119,2.336603
Benin,Dahomey,Tindji,,Palace location,Monroe p. 776,7.246845,2.116991
Benin,Dahomey,Oumbegame,,Palace location,Monroe p. 776,7.273277,2.018577
Benin,Dahomey,Djidja,,,,7.344358,1.934474
