Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Djoloff,,affe peulh,,,,15.12466,-15.42286
Senegal,Djoloff,,Khataly,,,,15.1932,-15.59163
Senegal,Djoloff,,Sagatta,,Capital before Yang Yang,Leyti 61,15.220119,-15.554697
Senegal,Djoloff,,Ndama Ouolof,,Residence of terrotiral Diambour chief,Leyti 17,15.31571,-15.5685
Senegal,Djoloff,,Deck Wotte Loumbicor,,Residence of terrotiral Diambour chief,Leyti 17,15.32941,-15.42115
Senegal,Djoloff,,Ngapp,,Bargam residence,Leyti 17,15.32941,-15.51539
Senegal,Djoloff,,Dahra,,Residence of terrotiral Diambour chief,Leyti 17,15.351278,-15.47828
Senegal,Djoloff,,Passe,,Powerful Kangaam (noble with territorail command) based here; Army chief here,Charles 9,15.37825,-15.47255
Senegal,Djoloff,,Boulal Wolof,,,,15.39452,-15.66017
Senegal,Djoloff,,Ndiayene Thotto,,Residence of terrotiral Diambour chief,Leyti 17,15.39795,-15.22068
Senegal,Djoloff,,Linguere,,Residence of terrotiral Diambour chief,Leyti 17,15.398656,-15.114462
Senegal,Djoloff,,Thilla Ouarkhokh,,Farba-Dioureye; head of local leaders in Thiengue,Leyti 18,15.40309,-15.21554
Senegal,Djoloff,,Gouye Teude,,,,15.41166,-15.49397
Senegal,Djoloff,,Ngourou,,Residence of terrotiral Diambour chief,Leyti 17,15.43479,-15.2258
Senegal,Djoloff,,Mbethio Diaobe,,Residence of terrotiral Diambour chief,Leyti 17,15.45278,-15.30892
Senegal,Djoloff,,Doundodji I,,Residence of terrotiral Diambour chief,Leyti 17,15.47198,-15.193997
Senegal,Djoloff,,Khol Khol,,Residence of terrotiral Diambour chief,Leyti 17,15.491101,-15.014968
Senegal,Djoloff,,Mouye,,Boumi residence,Leyti 17,15.555037,-15.530856
Senegal,Djoloff,,Yang Yang,,Capital post-1858,Leyti 66,15.58938,-15.343526
Senegal,Djoloff,,ndiayene sabour,,,,15.6027,-15.38602
Senegal,Djoloff,,Mbeuleukhe,,,,15.64970336,-15.3462816
Senegal,Djoloff,,Mboyenane,,Kangaam (noble with territorial authority) here,Charles 9,15.65068,-15.38859
Senegal,Djoloff,,Mbeyene Bissinabe II,,,,15.68152,-15.55222
