Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Egba,Abeokuta,,capital of Egba,Smith p. 67,7.15571,3.345086
Nigeria,Egba,Ibadan,,,Smith p. 67,7.379813,3.906871
Nigeria,Egba,Ijebu Remo,,capital of district,Smith p. 67,7.183333,3.4
Nigeria,Egba,Ijeun,,kingmaker here,Smith 1976 95,7.066667,3.566667
Nigeria,Egba,Igbein,,leader born here,Smith 1976 97,7.0158,3.36841
Nigeria,Egba,Ikereku,,,Smith p. 68,7.068973,3.283344
Nigeria,Egba,Illugun,,capital of district,Smith p. 67,7.15,3.4
Nigeria,Egba,Itoku,,kingmaker here,Smith 1976 95,7.266667,3.516667
Nigeria,Egba,Kemta,,kingmaker here,Smith 1976 95,7.001691,3.566858
Nigeria,Egba,Owu Ogbere,,former settlement of Owu,Smith p. 51,7.308889,3.927222
