,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Early Ethiopia_Begamder,Begamder,Abuna Aron,,Monestery,Crummey,11.693049,38.344034,
Ethiopia,Early Ethiopia_Begamder,Begamder,Adersea,Aderseg,,,12.233333,38.283333,
Ethiopia,Early Ethiopia_Begamder,Begamder,Andabiet,,church here,,11.55,37.916667,
Ethiopia,Early Ethiopia_Begamder,Begamder,Atronsa Maryam,,monastery; royal prison,Encyclopedia v. 4 567,11.25,39.15,
Ethiopia,Early Ethiopia_Begamder,Begamder,Axwi,Asui,,,12.216667,38.433333,
Ethiopia,Early Ethiopia_Begamder,Begamder,Beta Lehem,,Monestery,Crummey,11.626402,38.378559,
Ethiopia,Early Ethiopia_Begamder,Begamder,Debra Tabor,,Teowdros lives here for some time,Mathew 194,11.85,38.016667,
Ethiopia,Early Ethiopia_Begamder,Begamder,Ebbenat,,market here,,12.133333,38.05,
Ethiopia,Early Ethiopia_Begamder,Begamder,Este Makana Iyasus,,Church gult here,Crummey 164,11.616667,38.066667,
Ethiopia,Early Ethiopia_Begamder,Begamder,Kebrant,,Monestery,Crummey,11.69734,37.341691,
Ethiopia,Early Ethiopia_Begamder,Begamder,"Mahdara Marya,m",,Church gult here,Crummey 164,11.716667,37.916667,
Ethiopia,Early Ethiopia_Begamder,Begamder,Qarata Walatta Petros,,Church gult here; trade center,Crummey 164,11.753886,37.446973,
Ethiopia,Early Ethiopia_Begamder,Begamder,Qoma Fasiladas,,Church gult here,Crummey 164,11.5,38.083333,
Ethiopia,Early Ethiopia_Begamder,Begamder,Remha,,Minastery & Gult,Crummey,11.84656,37.476461,
Ethiopia,Early Ethiopia_Begamder,Begamder,Yebaba,near Baher Dar,royal court here,Crummey 164,11.438636,37.400907,
Ethiopia,Early Ethiopia_Begamder,Begamder,Zebit,,,,11.816667,38.583333,
Ethiopia,Early Ethiopia_Begamder,Begamder,Zuramba,,Monastery,Encyclopedai Aethiopia v. 5 201,11.69525418,38.34208971,
Ethiopia,Early Ethiopia_Begamder,Dembiya,Celga,,customs post here,Pankhurst 1968a 29,12.55,37.066667,
Ethiopia,Early Ethiopia_Begamder,Dembiya,Wahni,,customs post here,Pankhurst 1968a 29,12.664444,36.67,
