Oli,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Early Ethiopia_Wallo,Wallo,Allamata,,main town of Raya Kobo,Encyclopedai Aethiopia 206,12.41747931,39.55892802,
Ethiopia,Early Ethiopia_Wallo,Wallo,Amba Gesan,,traditional site of detention,Encyclopedai Aethiopia 218,11.21667,39.1,
Ethiopia,Early Ethiopia_Wallo,Wallo,Dabra Hayk Estifanos,,Monestary ,Encyclopaedia Aethiopica v. 2 25,11.33999556,39.6971776,
Ethiopia,Early Ethiopia_Wallo,Wallo,Dasse Madhane-Alam,,endowed church here,Tegnene 215,11.133333,39.633333,
Ethiopia,Early Ethiopia_Wallo,Wallo,Doba,near Waldiya - palced here,Taytu's custom post,Pankhurst 1968a 21,11.833333,39.683333,
Ethiopia,Early Ethiopia_Wallo,Wallo,Hayq,,Gult here,Crummey 163,11.3,39.683333,
Ethiopia,Early Ethiopia_Wallo,Wallo,Lalibela,,church here,Lindahl data,12.033333,39.033333,
Ethiopia,Early Ethiopia_Wallo,Wallo,Magadala,Amba Mariam,Tewodros moves capital here in 1855,,11.433333,39.283333,
Ethiopia,Early Ethiopia_Wallo,Wallo,Qalansa Maryam,,Monestary ,Encyclopaedia Aethiopica v. 2 25,11.38333,39.7,
Ethiopia,Early Ethiopia_Wallo,Wallo,Soqota ,,major commercial center with tax collector appointed,Pankhurst 1968a 21,12.630556,39.034722,
Ethiopia,Early Ethiopia_Wallo,Wallo,Tanta Mikael,,endowed church here,Tegnene 215,11.316667,39.25,
Ethiopia,Early Ethiopia_Wallo,Wallo,Wadela,,monastery here,Lindahl Data,11.608116,38.930714,
Ethiopia,Early Ethiopia_Wallo,Wallo,Waldiya Gabreel,,church by nobiliyt  founded in early 1800s,Crummey 153,11.8277,39.59164,
Ethiopia,Early Ethiopia_Wallo,Wallo,Yejju,,,Marcus 35,11.666667,39.916667,
