Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Fouta Djallon_Nord,Timbi Madina,,important village in Foutanke heartland,Diallo 1972 map 3,11.203688,-12.543358
Guinea,Fouta Djallon_Nord,Koyin,,province head,Diallo 1972 p. 180,11.216667,-11.816667
Guinea,Fouta Djallon_Nord,Bagnan,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.233333,-12.483333
Guinea,Fouta Djallon_Nord,Timbi Diari,,NGueriNyabe Clan Residence,"Bah 2008, p. 32",11.246974,-12.529009
Guinea,Fouta Djallon_Nord,Koggui,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.254582,-12.549057
Guinea,Fouta Djallon_Nord,Simpetin,,Yllabes Clan Residence,"Bah 2008, p. 31",11.254916,-12.434748
Guinea,Fouta Djallon_Nord,Labi,,province head,Diallo 1972 p. 180,11.316667,-12.283333
Guinea,Fouta Djallon_Nord,Sombili,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.335349,-12.944971
Guinea,Fouta Djallon_Nord,Kelela,,Important Diahanke village,"Bah 2008, p. 34",11.349434,-11.633452
Guinea,Fouta Djallon_Nord,Nadel,,Yllabes Clan Residence,"Bah 2008, p. 31",11.362857,-12.350139
Guinea,Fouta Djallon_Nord,Banga,,Impotant Casted village,"Bah 2008, p. 34",11.381362,-12.717343
Guinea,Fouta Djallon_Nord,Popodao,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.401762,-12.404463
Guinea,Fouta Djallon_Nord,Sannun,,,Diallo 1972 map 3,11.416667,-12.133333
Guinea,Fouta Djallon_Nord,Satina,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.433333,-12.366667
Guinea,Fouta Djallon_Nord,Daralabe,,Boulayabes Clan Residence,"Bah 2008, p. 30",11.440448,-11.343883
Guinea,Fouta Djallon_Nord,Tougue,,,Demouguet 1944,11.442744,-11.663623
Guinea,Fouta Djallon_Nord,Diountou,,,,11.466667,-12.533333
Guinea,Fouta Djallon_Nord,Fetoyambi,,Important Diahanke village,"Bah 2008, p. 34",11.533333,-12.183333
Guinea,Fouta Djallon_Nord,Diogui Dabbi,,Yllabes Clan Residence,"Bah 2008, p. 31",11.552642,-12.766058
Guinea,Fouta Djallon_Nord,Pelimini,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.566667,-12.15
Guinea,Fouta Djallon_Nord,Dena,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.578458,-12.550479
Guinea,Fouta Djallon_Nord,Kubiya,,important village in Foutanke heartland,Diallo 1972 map 3,11.584965,-11.89279
Guinea,Fouta Djallon_Nord,Sare Kali,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.6,-12.266667
Guinea,Fouta Djallon_Nord,Tuuba,,,Diallo 1972 map 3,11.604902,-13.024965
Guinea,Fouta Djallon_Nord,Gonkou,,Balde Clan Residence,"Bah 2008, p. 30",11.616667,-11.45
Guinea,Fouta Djallon_Nord,Bassara,,city built by rulers in Labe,"Balde, 1995, p. 36",11.633333,-11.783333
Guinea,Fouta Djallon_Nord,Manda Foulbe,,Ndouyebes Clan residence,"Bah 2008, p. 30",11.666667,-12.616667
Guinea,Fouta Djallon_Nord,Niannou,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.677227,-11.979251
Guinea,Fouta Djallon_Nord,Koumibili,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.747725,-11.885756
Guinea,Fouta Djallon_Nord,Linsan,,Balde Clan Residence,"Bah 2008, p. 30",11.766667,-12.683333
Guinea,Fouta Djallon_Nord,Simili,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.783333,-11.766667
Guinea,Fouta Djallon_Nord,Yame,,Yllabes Clan Residence,"Bah 2008, p. 31",11.783333,-12.883333
Guinea,Fouta Djallon_Nord,Doungnel Sigon,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.8,-12.216667
Guinea,Fouta Djallon_Nord,Yemberen,,important village in Foutanke heartland,Diallo 1972 map 3,11.816667,-12.35
Guinea,Fouta Djallon_Nord,Salambande,,city built by rulers in Labe,"Balde, 1995, p. 36",11.833333,-11.883333
Guinea,Fouta Djallon_Nord,Gadaoundou,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.842995,-11.576376
Guinea,Fouta Djallon_Nord,Badougoula,,Important Sarakhole village,"Bah 2008, p. 34",11.855762,-12.70087
Guinea,Fouta Djallon_Nord,Dougountouni,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.866667,-12.616667
Guinea,Fouta Djallon_Nord,Madina Wora,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0309,-12.499
Guinea,Fouta Djallon_Nord,Toulel,,NGueriNyabe Clan Residence,"Bah 2008, p. 32",12.038872,-12.853105
Guinea,Fouta Djallon_Nord,Tembu,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0624,-12.1098
Guinea,Fouta Djallon_Nord,Sougue,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0686,-12.6777
Guinea,Fouta Djallon_Nord,Singuetti,,Yllabes Clan Residence,"Bah 2008, p. 31",12.0728,-12.8981
Guinea,Fouta Djallon_Nord,Pellal,,Lalyabes Clan Residence,"Bah 2008, p. 30",12.0823,-12.3388
Guinea,Fouta Djallon_Nord,Tounti Diogoma,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.083606,-11.579253
Guinea,Fouta Djallon_Nord,Madina Foulbe,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.083614,-11.773795
Guinea,Fouta Djallon_Nord,Kaade,,,Diallo 1972 map 3,12.166667,-13.683333
Guinea,Fouta Djallon_Nord,Kade Foulamori,,Yllabes Clan Residence,"Bah 2008, p. 31",12.16927,-13.848555
Guinea,Fouta Djallon_Nord,Diohe Kalan,,Impotant Casted village,"Bah 2008, p. 34",12.181343,-11.869926
Guinea,Fouta Djallon_Nord,Touba Bakoni,,Important Diahanke village,"Bah 2008, p. 34",12.186,-12.6588
Guinea,Fouta Djallon_Nord,Wansan,,Niougeyabes Clan Residence,"Bah 2008, p. 33",12.2452,-12.6342
Guinea,Fouta Djallon_Nord,Madina Kouta,,Important Diahanke village,"Bah 2008, p. 34",12.2627,-12.1979
Guinea,Fouta Djallon_Nord,Busura,,,Diallo 1972 map 3,12.283333,-13.05
