Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Fouta Toro,,Adabere,,Territorial subchief,Schmitz 460,15.13750013,-12.78305597
Senegal,Fouta Toro,Bossea,Anyam Wuro Sire,Agnam Goly,"almamy from here, 1830s, 1843","Robinson 1978, 188",16.006815,-13.690142
Senegal,Fouta Toro,Damga,Aoure,,Territorial subchief,Schmitz 460,15.142081,-12.947918
Senegal,Fouta Toro,Yirlabe,Barobe,,Territorial subchief,Schmitz 457,16.18502142,-13.89574886
Senegal,Fouta Toro,,Bode,,"Almamy from here 1807, 1812",Robinson Curtin Johnson 570,16.446686,-14.350943
Senegal,Fouta Toro,Ngenar,Boki Diave,,Principal village; Ngenar Province; capital of Abdul Bokar post-183,"Robinson 1975, 23",15.886756,-13.490522
Senegal,Fouta Toro,,Bokiladji,,Territorial subchief,Schmitz 456,15.057785,-12.745063
Senegal,Fouta Toro,Bossea,Boungou,Sangayel Boungou,Principale village; Ba clan,"Robinson 1975, 23",16.040457,-13.444163
Senegal,Fouta Toro,Lao,Cas-Cas,,Principal village; Lao province,"Robinson 1975, 23",16.37958679,-14.05687508
Senegal,Fouta Toro,Bossea,Dabia,Dabia Odedji,Principal village; Kan clan; Abdul Bokar's capital before 1883,"Robinson 1975, 23",15.91454,-13.5162
Senegal,Fouta Toro,Damga,Dembankane,,Principle Soninke village,"Robinson 1975, 23",15.09120521,-12.7018351
Senegal,Fouta Toro,Hayre,DEMETTE,,Territorial subchief,Schmitz 456,16.56815596,-14.28049732
Senegal,Fouta Toro,Hebiabe,Diaba,Diaba Lidoubes,"Principal village; Ly clan; capital under Abdou Kader; almamy from here 1808-1812, 1817, 1818; 1821, 1823-25, 1828, 1833, 1835, 1836, 1838, 1844-47, 1862-63, 1873-74, 1876-77","Robinson 1975, 23",16.059258,-13.766621
Senegal,Fouta Toro,Dimar,Dialmatch,Dialmathie,Capital of Dima province,"Robinson 1975, 190",16.517308,-15.124639
Senegal,Fouta Toro,,Diamouguel,,Territorial subchief,Schmitz 460,15.114873,-12.929647
Senegal,Fouta Toro,Ngenar,Diandioli,,Almamy from here 1817,Robinson Curtin Johnson 570,15.54127,-13.24865
Mauritania,Fouta Toro,Damga,Dolol,,Territorial subchief,Schmitz 459,15.57937331,-13.09955363
Senegal,Fouta Toro,Ngenar,Dondou,,"Stronghold of Abdul Bakar, 1870s-90s; almamy from here 1822","Robinson 1975, 101",16.020528,-13.381268
Senegal,Fouta Toro,Ngenar,Doumga,,Ardo here,Schmitz 456,16.33751,-14.220467
Senegal,Fouta Toro,Dimar,Fanaye,,prominent village,Kane Diss,16.527925,-15.22256
Senegal,Fouta Toro,Bossea,Gababe,,Territorial subchief,Schmitz 458,16.12424259,-13.54190227
Senegal,Fouta Toro,Ngenar,Gaol,,Principal village; Any clan; almamy from here late 1820s,"Robinson 1975, 23",16.074289,-13.489691
Senegal,Fouta Toro,Lao,Gollere,,almamy from here 1870-71,Robinson Curtin Johnson 577,16.255713,-14.101981
Senegal,Fouta Toro,Toro,Guede,,Principal village of Toro; Sal clan,"Robinson 1975, 23",16.526224,-14.791517
Senegal,Fouta Toro,Hayre,Hayre,Aere,"Principal village, Baro, Ture clans; almamy from here late 1820s, 1866","Robinson 1975, 23",16.401341,-14.320505
Senegal,Fouta Toro,worgo,Hore Fonde,Orefonde,symbolic capital; almamy from here 1858,"Robinson 1975, 23",16.047447,-13.725974
Senegal,Fouta Toro,Damga,Horkadiere,,Territorial subchief,Schmitz 460,15.284682,-12.960541
Senegal,Fouta Toro,Damga,Horndolde,Ornolde,"Stronghold of Abdul Bakar, 1870s-90s","Robinson 1975, 101",15.483974,-12.96866
Mauritania,Fouta Toro,Bossea,Kaedi,,prominent trading city,"Robinson 1975, 23",16.153349,-13.498797
Senegal,Fouta Toro,Damga,Kanel,,Principal village; Wan clan,"Robinson 1975, 23",15.490988,-13.175802
Senegal,Fouta Toro,Bossea,Kobila,Kobila Torobes,Principal village; Kan clan,"Robinson 1975, 23",15.925539,-13.52524
Mauritania,Fouta Toro,Damga,Magama,,Principle village; Damga Province,"Robinson 1975, 23",15.510792,-12.85086
Mauritania,Fouta Toro,Yiirlabe,Mbagne,,Territorial subchief,Schmitz 457,16.147709,-13.78622
Senegal,Fouta Toro,Yirlabe,Mbolo Ali Sidi ,,Principal village; Ba clans,"Robinson 1975, 23",16.057298,-13.796257
Senegal,Fouta Toro,worgo,Mbolo Birane,,"home of Alcaty who received customs payments and trading ; essentally foreign minister; Kan, Alcaty clans","Robinson 1975, 23",16.063736,-13.811198
Senegal,Fouta Toro,Lao,Mboumba,,"Principal village; Wan clan; almamy from here 1815, 1817, 1819, 1833, 1835, 1841-43, 1844, 1847-48, 1850, 1851, 1854, 1861, 1867-68","Robinson 1975, 23",16.193615,-14.015336
Senegal,Fouta Toro,Lao,Medina Ndiatbe,,"almamy from here 1852-53, 1856",Robinson Curtin Johnson 574,16.294177,-14.138926
Senegal,Fouta Toro,Lao,Meri,,Territorial subchief,Schmitz 457,16.221976,-14.05278
Senegal,Fouta Toro,,Nabadji,,Territorial subchief,Schmitz 459,15.737839,-13.388256
Senegal,Fouta Toro,Bossea,Ndiakir,,Principal village; Ba clan,"Robinson 1975, 23",16.0183,-13.70296
Senegal,Fouta Toro,Toro,Ndioum,,Chef territoire here,Schmitz 455,16.51356603,-14.65170131
Senegal,Fouta Toro,Toro,Nenette,,Ardo Gede here,Schmitz455,16.438159,-14.801005
Senegal,Fouta Toro,Ngenar,Ngidjilone,,Principal village; Dia clann,"Robinson 1975, 23",15.938858,-13.349109
Senegal,Fouta Toro,Ngenar,Ogo,,"home village of many alamamies, including 1816, 1837, 1848, 1851, 1857, 1877","Robinson 1975, 189",15.550118,-13.296715
Senegal,Fouta Toro,Damga,Ouande,,Principle Soninke village,"Robinson 1975, 23",16.376048,-14.199608
Senegal,Fouta Toro,Toro,Ouro Madiou,,village of influential marbaout,"Robinson 1975, 83-85",16.596705,-14.928302
Senegal,Fouta Toro,,Ouro Molo,,Territorial subchief,Schmitz 458,16.009021,-13.698789
Senegal,Fouta Toro,Yirlabe,Pete,,Principal village; An clan; almamy from here 1858,"Robinson 1975, 23",16.106772,-13.94734
Mauritania,Fouta Toro,Bossea,Rindao,,Principal village; Atch clan,"Robinson 1975, 23",16.143357,-13.573282
Senegal,Fouta Toro,Damga,Semme,,Chef territoire here,Schmitz 459,15.197646,-12.943976
Senegal,Fouta Toro,Damga,Sinthiou Bamambe,,Capital under Moktar Kudeji 1806-7; 1865-66,Robinson Curtin Johnson 570,15.367708,-13.133552
Senegal,Fouta Toro,Yirlabe,Tebegut,Salde,"Home of almamy in 1850s; again in 1879,  later absorbed into Salde where French set up a fort","Robinson 1975, 187",16.16440198,-13.88238367
Senegal,Fouta Toro,Bossea,Thiaski,,Territorial subchief,Schmitz 458,16.094932,-13.670861
Senegal,Fouta Toro,Yirlabe,Thikite,,Territorial subchief,Schmitz 457,16.15873,-13.966369
Senegal,Fouta Toro,,Thile Boubacar,,Chef territoire here,Schmitz 455,16.518432,-15.092942
Senegal,Fouta Toro,Bossea,Thilogne,,Principal village; Ly clan; capital under Abdou Kader,"Robinson 1975, 23",15.966281,-13.592571
Mauritania,Fouta Toro,Damga,Wali Diantan,,Territorial subchief,Schmitz 460,15.33637495,-12.87348879
