Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Gawar,Boudoum,,dependent chief here,"Mohammadou 1988, p. 261",10.475973,13.919073
Cameroon,Gawar,Djada,,frontier town ,"Mohammadou 1988, p. 260",10.349437,13.95894
Cameroon,Gawar,Gawar,,capital,"Mohammadou 1988, p. 258",10.510917,13.836382
Nigeria,Gawar,Kamale,,dependent chief here,"Mohammadou 1988, p. 261",10.629738,13.539685
Cameroon,Gawar,Kila,,Fulani here,"Mohammadou 1988, p. 258",10.471234,13.643302
Cameroon,Gawar,Kossehone,,,"Mohammadou 1988, p. 264",10.721511,13.670536
Cameroon,Gawar,Ldamsay,,frontier town ,"Mohammadou 1988, p. 260",10.766499,13.789695
Cameroon,Gawar,Ldoua-Moudal,,frontier town ,"Mohammadou 1988, p. 260",10.421723,13.742671
Cameroon,Gawar,Liri,,frontier town ,"Mohammadou 1988, p. 260",10.4576,13.69231
Cameroon,Gawar,Mabas,,frontier town ,"Mohammadou 1988, p. 260",10.810141,13.654179
Cameroon,Gawar,Soulede,,frontier town ,"Mohammadou 1988, p. 260",10.756684,13.91255
Cameroon,Gawar,Zamay,,important city,"Mohammadou 1988, p. 264",10.634921,13.898632
