Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cote d'Ivoire,Late Samory,Ivory Coast,Bonduku,,,http://www.fafich.ufmg.br/luarnaut/mp_etats_de_Samory.gif,7.587546,-5.269135
Cote d'Ivoire,Late Samory,,Yapikro,,garrison 1890s,person carte 37,7.6,-4.502001
Ghana,Late Samory,,Adansu,,garrison 1890s,person carte 37,7.74586,-2.80691
Cote d'Ivoire,Late Samory,,Yakase,,garrison 1890s,person carte 37,7.77923,-3.508335
Guinea,Late Samory,,Gefeso,,centre in early 1890s,person carte 24,7.784784,-7.639592
Cote d'Ivoire,Late Samory,,Bedara (Kwakukro),,garrison 1890s,person carte 37,7.791992,-4.322625
Cote d'Ivoire,Late Samory,,Tangomoru,,garrison 1890s,person carte 37,7.833369,-3.216557
Cote d'Ivoire,Late Samory,,Sukurugba,,important center 1890s,person carte 35,7.848733,-5.935041
Cote d'Ivoire,Late Samory,,Gummere,,garrison 1890s,person carte 37,7.896296,-2.980126
Cote d'Ivoire,Late Samory,,Satama,,garrison 1890s,person carte 37,7.898064,-4.530125
Ghana,Late Samory,,Duadaso,,garrison 1890s,person carte 37,7.90303,-2.6323
Cote d'Ivoire,Late Samory,,Grumaniya,,garrison 1890s,person carte 37,7.91998,-4.000204
Cote d'Ivoire,Late Samory,,Kurukoro,,important center 1890s,person carte 35,7.948962,-6.422538
Ghana,Late Samory,,Sampa,,garrison 1890s,person carte 37,7.95039,-2.6946
Guinea,Late Samory,,Seguela,,later site,http://www.fafich.ufmg.br/luarnaut/mp_etats_de_Samory.gif,7.961111,-6.673056
Cote d'Ivoire,Late Samory,,kurukoro,,garrison 1890s,person carte 37,8.05367,-4.44609
Cote d'Ivoire,Late Samory,,Mankono,,garrison 1897,person carte 41,8.058611,-6.189722
Cote d'Ivoire,Late Samory,,Kofi-Daba,approximate,Samory residence,person carte 37,8.11106,-2.87918
Cote d'Ivoire,Late Samory,,Sangyey,,garrison at end of empire,person carte 43,8.114762,-3.648002
Cote d'Ivoire,Late Samory,,Nyemereka'a,,garrison at end of empire,person carte 43,8.116667,-5.283333
Cote d'Ivoire,Late Samory,,Tyenigbe,,garrison at end of empire,person carte 43,8.17838,-5.721467
Cote d'Ivoire,Late Samory,,Ngawe,,garrison in early 1890s,person carte 37,8.187675,-7.850639
Cote d'Ivoire,Late Samory,,Ofyaka'a,,important center 1890s,person carte 35,8.213637,-5.131694
Cote d'Ivoire,Late Samory,,Tambi,,garrison 1890s,person carte 37,8.233428,-2.573624
Cote d'Ivoire,Late Samory,,Borono,,garrison 1890s,person carte 37,8.25246,-4.02984
Cote d'Ivoire,Late Samory,,Gwentegela,,garrison in early 1890s,person carte 36,8.290441,-7.309272
Cote d'Ivoire,Late Samory,,Gberekoro,,garrison at end of empire,person carte 43,8.3,-4.299002
Cote d'Ivoire,Late Samory,,Awayikoro,,garrison 1890s,person carte 37,8.30037,-3.95188
Cote d'Ivoire,Late Samory,,Tonsoro,Tondolo?,garrison 1890s,person carte 39,8.325968,-6.006404
