Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Liptako,Babirka,,major town,Irwin p. 20,13.807233,-0.156311
Burkina Faso,Liptako,Banga,,major town,Irwin p. 20,13.87295,-0.066252
Burkina Faso,Liptako,Bani,,major town,Irwin p. 20,13.721389,-0.172222
Burkina Faso,Liptako,Boudoungeuel,,major town,Irwin p. 20,14.02973,0.088263
Burkina Faso,Liptako,Dalinga,,major town,Irwin p. 20,13.77343,-0.21555
Burkina Faso,Liptako,Dangade,,major town,Irwin p. 20,13.979789,-0.102184
Burkina Faso,Liptako,Dani,,major town,Irwin p. 20,13.721389,-0.172222
Burkina Faso,Liptako,Dioubbou,,major town,Irwin p. 20,13.976973,-0.340517
Burkina Faso,Liptako,Dori,,Capital,Irwin p. 20,14.034099,-0.032615
Burkina Faso,Liptako,Foulgou,,major town,Irwin p. 20,13.977507,-0.157233
Burkina Faso,Liptako,Kampita,,major town,Irwin p. 20,14.033063,0.018489
Burkina Faso,Liptako,Katchirga,,major town,Irwin p. 20,14.038723,0.106789
Burkina Faso,Liptako,Koria,,major town,Irwin p. 20,13.978335,0.060129
Burkina Faso,Liptako,Malbo,,major town,Irwin p. 20,13.901359,-0.178916
Burkina Faso,Liptako,Mallere,,major town,Irwin p. 20,13.963609,-0.082508
Burkina Faso,Liptako,Mamassiol,,major town,Irwin p. 20,14.076426,0.014845
Burkina Faso,Liptako,Ndiemga,,major town,Irwin p. 20,14.067904,-0.045936
Burkina Faso,Liptako,Oulo,,major town,Irwin p. 20,14.044804,-0.235296
Burkina Faso,Liptako,Ouro Torobe,,major town,Irwin p. 20,13.966716,-0.029789
Burkina Faso,Liptako,Pempendiango,,major town,Irwin p. 20,13.930518,-0.059337
Burkina Faso,Liptako,Peonkoy,,major town,Irwin p. 20,13.991051,-0.223366
Burkina Faso,Liptako,Petekole,,major town,Irwin p. 20,14.011876,0.057489
Burkina Faso,Liptako,Tibitindo,,major town,Irwin p. 20,13.80068,-0.080855
