Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
DRC,Luba,Heartland,Budyende,,Royal village of Kumwimbe Ngome,Reefe 129,-7.674923,25.631576,Just north of here
DRC,Luba,Heartland,Bwaji,,powerful spirit medium consulted by royal males,Reefe 88,-7.950532,25.783122,
DRC,Luba,Heartland,Djingile,,Royal Village,Reefe 55,-7.035031,26.118315,Ojingilo? Same spot
DRC,Luba,Heartland,Gonzo (Kabondo) (Sungu-Katende),,Royal Village,Reefe 55,-7.552385,25.429819,
DRC,Luba,Heartland,Kabanda (Nyembo),,Royal Village,Reefe 55,-6.915374,25.912926,
DRC,Luba,Heartland,Kabongo,,,,-7.338489,25.580946,
DRC,Luba,Heartland,Kalongo,,Royal Village,Reefe 55,-8.014208,26.274747,
DRC,Luba,Heartland,Kalwanzo,,Subchief; important blacksmith site,Reefe 90,-8.417658,25.539162,
DRC,Luba,Heartland,Kasolo,,Maternal village & early capital of King Kasongo Kalombo,Reefe 185,-7.776994,25.128563,
DRC,Luba,Heartland,Kasongo Nyenge,,Prominent dynasty from here ,Petit 351,-8.914964,25.561363,
DRC,Luba,Heartland,Katende,,Capital of Ilunga Sungu,Reefe 119 ,-7.520649,25.279144,
DRC,Luba,Heartland,Katunda,,Royal Village,Reefe 55,-6.945724,26.073165,
DRC,Luba,Heartland,Kilemba,,Later capital of King Kasongo Kalombo,Reefe 186,-7.676258,26.044992,
DRC,Luba,Heartland,Kitabi (Kombe),,Royal Village,Reefe 55,-6.949907,25.784424,
DRC,Luba,Heartland,Kitenta kya Kumwimbe Ngombe (Kimiba) (Budyende),,Royal Village,Reefe 55,-7.589933,25.605686,
DRC,Luba,Heartland,Luakidi,,Minor sacred village,Reefe 80,-7.57564,26.063295,
DRC,Luba,Heartland,Lubiai,,Court of Kabongo here in late 1800s,Reefe 187,-7.310514,25.579749,
DRC,Luba,Heartland,Lulenge,,,,-6.736156,26.006764,
DRC,Luba,Heartland,Makwidi,,Royal Village,Reefe 55,-7.322068,26.035919,
DRC,Luba,Heartland,Mande,,Subchief here,Reefe 89,-8.099903,25.359553,
DRC,Luba,Heartland,Mwadi Katoloka,,Key river crossing,Reefe 86,-7.020612,25.672717,
DRC,Luba,Heartland,Mwibele,,"Village of Nkongolo, mythical founder, remains sacred site",Reefe 20,-7.35955,25.678443,
DRC,Luba,Heartland,Myumbu,,Royal Village,Reefe 55,-7.142517,25.905273,
DRC,Luba,Heartland,Ngoy Mani,,subchief here,Petit 357,-7.715119,26.600362,
DRC,Luba,Heartland,Seya,,Court of Kasongo Nyembo here late 1800s,Reefe 186,-7.688287,25.524767,
DRC,Luba,Heartland,Shinta,,Minor sacred village,Reefe 80,-7.583333,25.25,
DRC,Luba,Tributory,Kafuku,,Tributary in 1800s on Luba-Songye Borderland,Reefe 149,-6.934985,25.095964,
DRC,Luba,Tributory,Kapako,,Tributary in 1800s on Luba-Songye Borderland,Reefe 149,-6.669038,25.115969,
DRC,Luba,Tributory,Kisapo,,Tributary in 1800s on Luba-Songye Borderland,Reefe 149,-6.714154,24.95846,
DRC,Luba,Tributory,Mudindo,,Tributary in 1800s on Luba-Songye Borderland,Reefe 149,-6.911491,24.780926,
DRC,Luba,Tributory,Kinkunki,,Approximate location of Samba ironworks - tributory to Luba ,Reefe 224,-8.739483,25.04368,
DRC,Luba,Tributory,Lubombo,,key village of Kapamay ributory,Reefe 90,-8.634061,25.913836,
DRC,Luba,Tributory,Kinkondja,,Tribuatory integrated by Ilunga Sungu,Reefe 133-134,-8.194508,26.429873,
DRC,Luba,Tributory,Umbanonga,,Tributary chief here in 1800s following eastward expansin,"Reefe 230, fn 32",-7.583848065,26.81767882,
DRC,Luba,Tributory,Unga,,Tributory chiefs of Museka near here,Reefe 232,-7.908414,27.213535,
