Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
DRC,Luba_est,Tributory,Duba,Luba?,Tributory chiefs of Museka near here,Reefe 232,-7.886445,27.630628,Approximate based on map
DRC,Luba_est,Tributory,Kalamata,,Tributory Chief here in mid 1800s; major salt works,Reefe 136,-7.755153,28.247087,
DRC,Luba_est,Tributory,Kalemie,,Tributary in 1800s following eastward expansion,Reefe 124,-5.920591396,29.18607146,
DRC,Luba_est,Tributory,Kia,,Tributary chief here in 1800s following eastward expansin,"Reefe 230, fn 32",-6.45,26.966667,
DRC,Luba_est,Tributory,Kifwa,,Tributary chief here in 1800s following eastward expansin,Reefe 231,-5.539702,28.070072,
DRC,Luba_est,Tributory,Kitentu,,Tributary chief here in 1800s following eastward expansin; part of Kyombo Mkubwa a major tributory state,Reefe 125,-7.22235005,27.83117485,
DRC,Luba_est,Tributory,Kwizimu,,Site of tributory fire king Buzi  following NE expansion,Reefe 231,-5.582181,26.458602,Approximate
DRC,Luba_est,Tributory,Mulenga,,Tributary chief here in 1800s following eastward expansin,Reefe 125,-7.116667,28.75,
DRC,Luba_est,Tributory,Mulongo,,Tributary chief here in 1800s following eastward expansin,"Reefe 230, fn 32",-6.020172,27.6912,
DRC,Luba_est,Tributory,Ngoye,,Tributary chief here in 1800s following eastward expansin; part of Kyombo Mkubwa a major tributory state,Reefe 125,-6.269896,27.848409,
DRC,Luba_est,Tributory,Nkongolo,,Site of tributory fire king Buzi  following NE expansion,Reefe 132,-5.385319,27.000285,
DRC,Luba_est,Tributory,Nyembwa Kunda,,Tributory Chief here in mid 1800s; major salt works,Reefe 136,-7.566667,28.616667,
