Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
DRC,Lunda,Bungulo,,Court official here; near Tshibango - approximate,Carvalho 235,-8.184256,22.258801,btw Chiumbue and Luachimo rivers
DRC,Lunda,Citazu,,Cilol here,Palmeirim 212,-8.261519,23.43816,
DRC,Lunda,Ciying,,Impt Cilol here in myth,Palmeirim 188,-8.040929,23.521758,
DRC,Lunda,Iyekel,next to Tshakal Makal,ancestral capital,Palmeirim 212,-8.238457,23.12557,
DRC,Lunda,Kabangu (Nzanza),,,,-10.017516,22.652966,
DRC,Lunda,Kabeb,,tomb of former mwant yav,Palmeirim 209,-8.241249,23.037428,
DRC,Lunda,Kafakumba,,Chief here,Hoover 550,-9.676509,23.758875,
DRC,Lunda,Kahungula,,,,-7.912139,21.96921,
DRC,Lunda,Kambang,,Cilol here,Hoover 553,-7.98985,22.458804,
DRC,Lunda,Kanapumba,,Cilolo here,Carvalho 237,-8.320709,22.688563,
DRC,Lunda,Kapanga,,Cilol Mwin Kapang near hear - Belgians build admin center nearby.,Hoover 298,-8.389,22.56408,
DRC,Lunda,Kas,,tomb of former mwant yav,Palmeirim 209,-8.381188,22.59847,
DRC,Lunda,Kasaku ,,,Palmeirim 211,-8.237708,23.105134,
DRC,Lunda,Muene Chibuico,,Court official here,Carvalho 234,-9.319559,21.856267,R bank of Cassai
DRC,Lunda,Muiala-Pembe,Mwene-Pembe?,Cilolo here,Carvalho 231,-9.83455,22.191837,
DRC,Lunda,Mukarusong,,one of six original titled officials,Palmeirim 176,-8.166776,23.149442,
DRC,Lunda,Musumba,,new capital an end of 19th century,Hoover,-8.361412,22.642289,location possibly solidified at onset of Belgian rule
DRC,Lunda,Mwana Panda,,Court official here,Carvalho 233,-8.550152,22.470112,in N near Mwene Kapanga
DRC,Lunda,Mwant Cinan,Mythical cave near here,sacred site,Pameirim 34,-8.33479,23.335766,
DRC,Lunda,Mwant Kandal,,Atabung here,Palmeirim 190,-8.143724,23.03572,
DRC,Lunda,Mwant Kayombu,,one of six original titled officials,Palmeirim 176,-8.228723,23.140216,
DRC,Lunda,Mwene Calenga,,Court official here,Carvalho 234,-8.011396,22.21894,
DRC,Lunda,Mwene Dicamba,,Court official here,Carvalho 233,-7.811495,24.121293,in NE
DRC,Lunda,Mwene Mussengue,,Court official here,Carvalho 233,-8.532812,22.678096,L bank of Lulua; across from Kapanga
DRC,Lunda,Nchakal Makal,Tshakal Makal,village with sacred sites here,Hoover 553,-8.238457,23.12557,
DRC,Lunda,Ruund,Ruung,,,-7.9989,23.367137,
DRC,Lunda,Sachikoy,,Subchief,Hoover 299,-9.081747,22.307929,
DRC,Lunda,Sakapembe,,Kabung here,Hoover 640,-8.233119,23.225978,
DRC,Lunda,Sandoa,,Chief here; Chokwe country,,-9.690899,22.868637,
DRC,Lunda,Suana Mulopo,,Court official here,Carvalho 236,-9.711553,22.749374,L Bank Calanhi in S
DRC,Lunda,Uana Mutombo,,Kings healer,Carvalho 233,-8.377431,22.499855,in N near Mwene Mussengue
