Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Macina_Nord,Kala or Sokoto,,,Djata p. xii,14.7328,-6.1219
Mali,Macina_Nord,Nampala,,,Djata p. xii,15.2807,-5.5549
Mali,Macina_Nord,Tenenku,,"residence of Bori Hamsala, Amadou's nephew","Ba and Daget, p. 68",14.635448,-5.029386
Mali,Macina_Nord,Kamaka,,,AF//305,14.770014,-4.683171
Mali,Macina_Nord,Koumoua,,,AF//305,14.902762,-4.60521
Mali,Macina_Nord,Wuro Ngiya,,village of former Segou chief in Maasina Province,"Sanankoua, p. 66",15.0786,-4.6049
Mali,Macina_Nord,Selingourou,,,"Ba and Daget, p. 203",15.4349,-4.581
Mali,Macina_Nord,Tyouki,,Site of garrison,"Ba and Daget, p. 70",15.4706,-4.5589
Mali,Macina_Nord,Karan,,,Djata p. xii,14.969291,-4.506303
Mali,Macina_Nord,Attara,,,AF//354,15.6621,-4.3523
Mali,Macina_Nord,Our,,,AF//305,15.5218,-4.3117
Mali,Macina_Nord,Iowarou,,,AF//305,15.3684,-4.2628
Mali,Macina_Nord,Oualladou,,,AF//305,15.2341,-4.2572
Mali,Macina_Nord,Diakankore,,,AF//305,15.137,-4.2451
Mali,Macina_Nord,So,,,AF//305,15.6288,-4.2069
Mali,Macina_Nord,Diantonka,,,AF//305,15.232,-4.1229
Mali,Macina_Nord,Sensa,,,AF//305,14.81858728,-4.085129814
Mali,Macina_Nord,Tantala,,,AF//305,15.6973,-4.0833
Mali,Macina_Nord,Gouram,,,AF//305,15.3143,-4.0329
Mali,Macina_Nord,Nyafunke,,,Djata p. xii,15.9322,-3.9906
Mali,Macina_Nord,Goundam,,Site of garrison,"Ba and Daget, p. 70",15.9032,-3.9576
Mali,Macina_Nord,Tobi,,,AF//305,15.0691,-3.9401
Mali,Macina_Nord,Sendege,,,"Sanankoua, prefix",14.903498,-3.909978
Mali,Macina_Nord,Ouemere,,,AF//354,15.1187,-3.891
Mali,Macina_Nord,Koenza,,,AF//354,15.058066,-3.874537
Mali,Macina_Nord,Kourou,,,AF//354,15.6504,-3.8066
Mali,Macina_Nord,Korienza,,,AF//354,15.394306,-3.78176
Mali,Macina_Nord,Moussa,,,"Ba and Daget, p. 203",15.3414,-3.7499
Mali,Macina_Nord,Sarefere,,,"Ba and Daget, p. xii",15.824,-3.6942
Mali,Macina_Nord,Tendirma,,,"Ba and Daget, p. xii",16.130126,-3.639941
Mali,Macina_Nord,Dart,,,"Sanankoua, prefix",15.9153,-3.5965
Mali,Macina_Nord,Galdiouma,,,"Ba and Daget, p. 203",15.4208,-3.556
Mali,Macina_Nord,Koma,,,AF//354,15.6503,-3.5393
Mali,Macina_Nord,Borð,,,AF//354,15.133333,-3.483333
Mali,Macina_Nord,SareBana,,,AF//354,15.7939,-3.4816
Mali,Macina_Nord,Dire,,,AF//305,16.257045,-3.401263
Mali,Macina_Nord,Dari,,,"Ba and Daget, p. 203",15.4793,-3.4002
Mali,Macina_Nord,Koytou,,,AF//305,16.137026,-3.327308
Mali,Macina_Nord,Sarayamo,,,"Sanankoua, prefix",16.083818,-3.239941
Mali,Macina_Nord,Joona,,,de Bruijn and Van Dijk p. 220,15.3273,-3.2343
Mali,Macina_Nord,Wouro Dyam Allah,,,"Ba and Daget, p. 203",15.4516,-3.2206
Mali,Macina_Nord,Hore Wendou,,,"Ba and Daget, p. 203",15.6611,-3.2106
Mali,Macina_Nord,Bani,,,"Ba and Daget, p. 225",16.251117,-3.182847
Mali,Macina_Nord,Karsani,,,AF//354,15.476023,-3.16064
Mali,Macina_Nord,Kanyume,,,de Bruijn and Van Dijk p. 220,15.7909,-3.1526
Mali,Macina_Nord,Danga,,,AF//305,16.46653878,-3.13657151
Mali,Macina_Nord,Timbuktu,,,Djata p. xii,16.770456,-3.005588
Mali,Macina_Nord,Kabara,,,Djata p. xii,16.704308,-2.983019
Mali,Macina_Nord,Bambara Maounde,,Site of garrison,"Ba and Daget, p. 70",15.852072,-2.786043
