Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Cameroon,Mandara,,Dokba,,Provincial title holder here,Mohammadou 165,10.791181,14.325895,
Cameroon,Mandara,,Doulo,,later capital,Mohammadou 106,11.105685,14.173336,
Nigeria,Mandara,,Gwoza,,,Barkinda p. 170,11.083125,13.695948,
Nigeria,Mandara,,Havare,,Provincial title holder here,Mohammadou 165,11.34754,14.07459,"placed at Jabiri, approximate location"
Nigeria,Mandara,,Ishga-Baja,,early capital,Barkinda p. 170,11.7196,13.764485,
Nigeria,Mandara,,Kamburwa,,Provincial title holder here,Mohammadou 165,10.935155,13.476014,
Nigeria,Mandara,,Kerawa,Krawa,Capital,Barkindo p. 142,11.184174,13.914228,
Cameroon,Mandara,,Limani,,Provincial title holder near here,Mohammadou 166,11.233056,14.171111,
Cameroon,Mandara,,Meme,,Provincial title holder here,Mohammadou 166,10.978093,14.241673,
Cameroon,Mandara,,Mogonye,,Provincial title holder here,Mohammadou 166,11.098334,14.357778,
Cameroon,Mandara,,Mokoche,,Provincial title holder here,Mohammadou 166,11.019847,14.423849,
Cameroon,Mandara,,Mora,,later capital,Mohammadou 106,11.046111,14.140111,
Cameroon,Mandara,,Pette,,Provincial title holder here,Mohammadou 165,10.967778,14.500833,
Cameroon,Mandara,,Zawaye,,Provincial title holder here,Mohammadou 166,10.802689,14.373403,
Cameroon,Mandara,,Ndoure,,Provincial title holder here,Mohammadou 165,11.15967,14.52522,approximate based on Mohammadou map; now national reserve
Cameroon,Mandara,,Moukdene,,Provincial title holder here,Mohammadou 165,10.9208,14.19442,
Cameroon,Mandara,,Maya,,Provincial title holder here,Mohammadou 165,10.94733,14.45415,
Cameroon,Mandara,,Takotvche,near Djounde,Provincial title holder here,Mohammadou 166,11.04626,14.2964,placed at Djounde
Nigeria,Mandara,,Lene,,Provincial title holder here,Mohammadou 181,11.8515,13.82454,approximate baded on map
Cameroon,Mandara,,Marva,Maroua,Provincial title holder here,,10.6008721,14.31685593,
