Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Malawi,Kalonga,Buluzi,,walled village,McFarren 197,-14.05212,33.78019,
Malawi,Kalonga,Chadza Mkwenda,,Chief,McFarren 81,-14.15704,33.84286,
Malawi,Kalonga,Changamire,,chief here,McFarren 151,-14.638582,35.18328,placed at Chimwala
Malawi,Kalonga,Chingala,,official here,McFarren 77,-13.81667,32.8,approximate
Malawi,Kalonga,Chinganyama,,trade center,Phiri 123,-13.66667,33.63333,
Malawi,Kalonga,Chiwala,,official here,McFarren 77,-13.46701,32.95342,
Malawi,Kalonga,Chizuni,,,McFarren 240,-12.441007,33.709707,
Malawi,Kalonga,Chulu,,chief here,McFarren 132,-12.819953,33.308572,
Malawi,Kalonga,Dzoole,,chief here,McFarren 108,-13.579137,33.658778,
Malawi,Kalonga,Kafulama,,,Mcfarren 44,-13.906852,32.989043,
Malawi,Kalonga,Kalonga,,Capital,McFarren 87,-14.18297,34.56631,approximate based on map
Malawi,Kalonga,Kaluluma,,chief here,McFarren 119,-12.578269,33.519583,
Malawi,Kalonga,Kankomba,,,McFarren 240,-14.238921,34.266153,
Malawi,Kalonga,Kanyenda,,chief here,McFarren 120,-12.467619,34.089281,
Malawi,Kalonga,Kaphirintiwa,,spiritually powerfulplace ; priestes appointed here,McFarren 32,-13.99827,33.24409,a hill in Dzalanyama mountains; apporximate based on map
Malawi,Kalonga,Kaphwiti,,chief,McFarren 154,-14.783333,35.616667,
Malawi,Kalonga,Kasungu,,trade center,Phiri 122,-13.03639,33.482201,
Malawi,Kalonga,Lukwa,,chief here,McFarren 132,-13.1,33.45,
Malawi,Kalonga,Mankhamba,Placed at Ntakataka,Capital,Mcfarren 44,-14.225576,34.518956,
Malawi,Kalonga,Manthimba,,early capital,Mcfarren 50,-14.60627,34.73305,approximate based on map
Malawi,Kalonga,Matsamakula ,near Kasakula,priestess here,Mcfarren 137,-13.23385,33.73428,
Malawi,Kalonga,Mbona,,shrine,McFarren 190,-14.704469,35.429262,
Malawi,Kalonga,Mkanda,,chief,McFarren 87,-13.51468,32.95967,
Malawi,Kalonga,Mkanthama,,chief,McFarren 108,-13.633333,33.916667,
Malawi,Kalonga,Mpinganjira,,Capital,McFarren 150,-14.9641,35.67749,based on McFarren's map
Malawi,Kalonga,Mponda,,chief,McFarren 248,-14.455029,35.244013,
Malawi,Kalonga,Msinja,,ritual centere here,McFarren 260,-14.081877,34.347773,
Malawi,Kalonga,Mwali,,priestess here,McFarren 41,-13.85861,33.86559,
Malawi,Kalonga,Nyangu,,chief and shrine,McFarren 247,-13.65,33.716667,
Malawi,Kalonga,Salima,,priestess here,McFarren 43,-13.784724,34.458382,
Malawi,Kalonga,Tambala,,chief,McFarren 248,-14.033333,34.233333,
Malawi,Kalonga,Kaphirintima,,,Mcfarren 44,-14,34.1,
Malawi,Kalonga,Chikwawa,,shrines,McFarren,-13.4,34.03333,
Malawi,Kalonga,Java,,"Portuguese mine in Undi's territory, taxes here",Langworthy 266,-14.46278,33.3575,approximate
