Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Malawi,Lundu,Bimbi,,shrine,McFarren 189,-15.3,35.483333,
Malawi,Lundu,Lundu,,capital,McFarren 150,-15.383333,34.983333,
Malawi,Lundu,Malemia,,subchief,McFarren 191,-15.26667,35.36667,
Malawi,Lundu,Manga,,,,-16.03333,35.56667,
Malawi,Lundu,Ngabu,,subchief,McFarren 191,-16.49428,34.91147,
Malawi,Lundu,Nyani,,chief,McFarren 242,-15.333333,35.4,
Malawi,Lundu,Tengani,,subchief,McFarren 191,-16.73333,35.26667,
Malawi,Lundu,Mawere ya Nyunga,,female chief to east of here,McFarren 152,-14.97928,34.95575,approximate
Malawi,Lundu,Khulubvi,,shrine,McFarren 265,-16.916667,35.266667,in or near Nsanje?
Malawi,Lundu,Nyandzikwi,,shrine,McFarren 265,-16.883333,35.283333,
Malawi,Lundu,Kanyimbi,,shrine,McFarren 265,-16.7,34.96667,
Malawi,Lundu,Nkhadzi,,shrine,McFarren 265,-16.96535,35.21659,
Malawi,Lundu,Konde Dzimbiri,,shrine,McFarren 265,-16.23333,34.68333,
